Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Bhutan	BTN	GDP per capita (current US$)	NY.GDP.PCAP.CD																					331.5312269	348.2364521	345.5152164	374.758549	373.0604584	368.6335872	416.968406	505.9227309	548.7543973	520.4078194	557.9721483	465.3885839	471.8392542	449.688254	524.2981458	588.5939027	609.3430176	692.1262064	695.2902533	751.5757717	765.8632358	807.9387673	885.6382245	997.7417141	1097.457088	1247.061392	1335.456906	1741.142552	1795.181307	1770.234497	2178.921383	2458.045976	2422.008016	2350.882889	2522.794953	2616.010343	2782.367967	3130.233543	
Botswana	BWA	GDP per capita (current US$)	NY.GDP.PCAP.CD	57.97768188	61.24224828	64.7070068	67.37587059	71.64951911	76.67722123	83.73469996	92.6258754	101.476552	114.8342053	138.363326	176.663797	222.46945	317.6646403	384.4187546	430.0741231	433.6515141	506.3237594	636.4664377	850.3486958	1059.6967	1034.153218	943.3196682	1052.732039	1077.74254	937.4744618	1135.167444	1554.419932	2031.41822	2301.989726	2750.950026	2783.021503	2848.206987	2783.237931	2779.113832	3014.867858	3022.176753	3065.527268	2869.182503	3226.295674	3349.068823	3128.097793	3055.618382	4163.065906	4896.583835	5351.253732	5374.554867	5714.047936	5623.379566	5185.729845	6346.156204	7483.878689	6901.971971	7001.034418	7493.752924	6521.146128	6954.144126	7595.611141	
Central African Republic	CAF	GDP per capita (current US$)	NY.GDP.PCAP.CD	74.59594425	80.52080199	79.96779577	81.58791565	87.8587465	91.32205402	93.84482117	95.32192069	109.247781	104.9197037	103.409867	108.0397857	121.1997304	140.0130735	142.4427623	187.699649	218.7506576	240.3735877	282.3812261	315.8626112	349.6099162	296.0645947	309.3677326	264.1972436	248.5851878	328.3119198	416.1188419	435.8930918	449.7829378	429.5415541	490.0745619	456.8977858	456.074154	401.9779716	260.4835711	332.6773772	293.3188854	266.6076447	268.9004231	271.8551165	243.5429317	243.1586486	253.7068343	286.2508019	313.210598	323.9805112	347.6071719	397.0171544	456.8618268	449.9612041	446.4436878	490.5103907	483.1860932	337.484979	377.1321263	348.3814271	382.0702811	418.411287	
Canada	CAN	GDP per capita (current US$)	NY.GDP.PCAP.CD	2294.568814	2231.293824	2255.230044	2354.839122	2529.518179	2739.585849	3010.705908	3173.076194	3411.060154	3703.990405	4121.932809	4586.255848	5141.616725	5870.600564	7043.474351	7489.940531	8783.721592	8892.76168	9096.058722	10012.44397	11135.43799	12297.78569	12439.74784	13377.89565	13826.64999	14060.46178	14403.8287	16245.45168	18864.26292	20638.29005	21371.2911	21664.59864	20771.25035	20017.42985	19859.20398	20577.48939	21183.22008	21770.13408	20887.83947	22167.22585	24124.16917	23691.59472	24167.80431	28172.14883	31979.87195	36189.58838	40386.69948	44544.5268	46596.33599	40773.45436	47447.47602	52082.21076	52496.69487	52418.31506	50633.20882	43327.17364	42105.90006	44870.77616	
Central Europe and the Baltics	CEB	GDP per capita (current US$)	NY.GDP.PCAP.CD																															2315.187628	2198.299175	2361.877735	2491.709636	2826.867183	3517.831523	3767.104545	3739.447838	4100.998056	3981.21936	3945.043247	4350.495944	4931.030687	5953.592264	7173.983997	8357.273695	9476.539329	12012.63072	14567.13581	12273.55153	12566.58767	13871.63242	12997.92622	13709.66251	14151.43364	12461.01009	12774.25888	14176.86571	
Switzerland	CHE	GDP per capita (current US$)	NY.GDP.PCAP.CD	1787.360348	1971.316323	2131.391652	2294.182847	2501.29319	2620.475547	2784.733548	2960.722586	3121.889031	3344.783603											18832.19672	17153.40132	17478.65579	17341.99488	16499.14693	16655.33739	23751.44952	29558.89548	31743.65291	30401.89248	38428.3855	38399.21061	39534.542	38100.73673	41843.75688	48662.43977	46676.85094	40417.96228	41497.20261	40581.30705	37868.32306	38538.99005	41376.39399	48087.58314	53340.14766	54952.67372	57579.50195	63555.2375	72487.84593	69927.46877	74605.72102	88415.62806	83538.23008	85112.4644	86605.56338	82081.59712	80037.50304	80342.84634	
Channel Islands	CHI	GDP per capita (current US$)	NY.GDP.PCAP.CD																																							40537.51169	42405.49714	43299.40114	41610.13058	44159.21077	48226.39668	55844.11669	57210.73229	62261.82801	73569.64496											
Chile	CHL	GDP per capita (current US$)	NY.GDP.PCAP.CD	532.6162668	584.237786	671.3997046	687.2683744	709.5792644	699.3779619	803.1491022	779.4756862	779.9788652	893.2475969	954.2491173	1116.870566	1194.633209	1667.568269	1578.875598	730.4099007	975.4843641	1296.892999	1462.835161	1964.851432	2577.323575	3016.823465	2180.290184	1725.441879	1637.167311	1453.316206	1525.426685	1767.123349	2032.959557	2294.345992	2500.646257	2811.481588	3362.169308	3551.030186	4045.621429	5137.375078	5382.846519	5781.103423	5479.498064	4986.007417	5101.368479	4595.666327	4463.545867	4787.699532	6210.828325	7615.30468	9484.681227	10526.87746	10781.36608	10243.32824	12860.17764	14705.69242	15431.90293	15941.39722	14794.31583	13736.63569	13960.89421	15346.4497	
China	CHN	GDP per capita (current US$)	NY.GDP.PCAP.CD	89.52054151	75.80583793	70.90941167	74.31364345	85.49855516	98.48677775	104.3245662	96.58953194	91.47271831	100.1299033	113.1629916	118.6545778	131.8835612	157.0903743	160.1400937	178.3418196	165.4055404	185.4228329	156.3963885	183.9831522	194.8047222	197.0714745	203.3349195	225.4319289	250.713969	294.4588485	281.9281209	251.811957	283.5376952	310.8819124	317.884673	333.1421454	366.4606923	377.3898395	473.4922787	609.6566792	709.4137551	781.7441643	828.5804793	873.2870617	959.3724836	1053.108243	1148.50829	1288.643252	1508.668098	1753.417829	2099.229435	2695.365917	3471.248054	3838.433972	4560.512586	5633.795717	6337.883323	7077.770765	7683.502613	8069.213024	8117.267465	8826.994096	
Cote d'Ivoire	CIV	GDP per capita (current US$)	NY.GDP.PCAP.CD	153.4715941	167.355531	167.995943	190.4073755	221.5178017	212.8218038	228.2274294	232.5688993	265.0408149	270.7573606	277.6370324	289.1094256	322.3479205	417.1065506	486.9170747	589.2070767	673.4169911	864.2870072	1041.473038	1152.333546	1226.912731	973.2840497	836.6556865	724.9422695	696.275231	682.5737814	862.3419925	915.4240175	897.6660598	824.1583194	880.0184701	825.5407011	847.2958457	810.8329724	590.3001333	756.5011354	809.5387372	758.911908	793.9810785	759.2922029	642.254714	656.834565	710.9611683	865.789649	919.8068028	931.754287	951.9478956	1065.896375	1242.431044	1217.749206	1219.749096	1214.703946	1250.808924	1423.682282	1568.627628	1715.105518	1493.506061	1537.504031	
Cameroon	CMR	GDP per capita (current US$)	NY.GDP.PCAP.CD	119.5341872	124.4216918	129.5155192	131.0834865	138.5654873	140.9074501	144.2520758	154.1756272	169.6245685	181.0678013	177.7063609	184.2397815	208.1314731	249.0902541	310.9114267	369.1346945	401.1492919	426.6103015	542.9245797	694.7470764	782.1396718	859.6568809	799.5699949	781.5619272	800.8261351	810.7666623	1024.387656	1150.1642	1132.477702	979.5901011	951.8882236	1030.979969	918.3958707	1214.697379	808.5760946	716.4369269	761.151765	764.7846067	730.7326938	751.9782914	660.1926971	661.7774417	719.8896584	881.0102086	1027.823	1030.038193	1081.369831	1215.808213	1396.824988	1338.884377	1309.122208	1429.647553	1380.509848	1493.746567	1571.182535	1353.92449	1391.751883	1451.865747	
